age,2010_1,2010_2,2010_3,2010_4,2010_5,2010_7,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2017_1,2017_2,2017_3,2017_4,2017_5,2017_6,2017_7
3 and 4,20.968277,48.263985,3.892884,0.946637,17.580014,8.348203,34.489227,41.416263,1.879255,4.252838,8.076888,0,8.751373,41.160262,34.682527,2.213664,5.316011,3.354222,0,13.273313
5 to 10,21.491974,46.017192,5.696428,1.439992,18.292007,7.062407,36.147075,38.687863,2.456156,4.465956,9.499303,1.96745,6.776196,42.105222,36.32825,3.086512,2.774453,4.497227,1.75131,9.457027
11 to 14,21.841247,47.545233,7.069318,1.757563,15.159864,6.626774,38.24013,37.365544,2.238315,5.849918,8.151004,1.121391,7.033697,41.792195,33.578616,2.720925,4.153826,4.480128,1.944639,11.32967
15 to 18,22.080982,45.242966,7.628156,1.895653,14.043697,9.108546,41.155257,35.565216,3.452469,4.924721,6.630675,1.607343,6.66432,46.697276,31.089719,2.934362,4.440109,3.757742,1.337491,9.743301
19 to 24,24.242601,44.175062,7.593481,1.054702,15.677235,7.256919,43.055332,33.963575,3.297475,3.757369,7.231433,1.078742,7.616075,45.775894,31.305981,4.119209,3.852253,3.932433,2.128742,8.885488
25 to 29,26.606125,40.732234,8.042889,0.977281,17.023714,6.617757,40.464794,39.207797,2.46239,3.439535,6.855959,0.462733,7.106791,44.071389,32.161972,3.275058,3.500422,3.959318,1.87188,11.159961
30 to 39,27.110663,39.803292,6.793946,1.419478,16.654657,8.217963,40.195076,36.174898,2.63231,4.262781,7.710716,1.672112,7.352106,40.388309,34.268038,3.097033,4.003615,4.978376,1.564776,11.699853
40 to 49,31.928397,35.329385,7.106877,1.908768,15.327981,8.398593,41.576623,33.559664,2.64397,5.253138,7.812519,1.498907,7.655177,43.258094,31.65634,2.565241,4.768819,5.044356,2.41792,10.289232
50 to 59,44.525043,26.695583,4.607406,1.025524,16.019627,7.126816,58.010974,21.667176,2.259138,1.876341,7.845428,1.547819,6.793124,59.301799,19.396514,2.696187,2.371357,4.08528,1.528958,10.619905
60 to 69,54.348231,17.866874,4.590434,0.607856,15.627458,6.959147,60.781504,18.284114,1.691728,1.34013,8.317477,1.616364,7.968684,65.426731,17.123683,2.013353,1.435774,3.938964,1.84504,8.216456
70 or older,69.829807,6.994122,1.981562,0.23904,14.280085,6.675383,72.16513,9.132006,1.147119,0.806284,6.513749,1.339813,8.895899,72.58896,9.545912,1.132938,1.023447,4.531059,1.480483,9.697201