state,total_households_2015,with_computer_incl_cell_2015,total_households_2016,with_computer_incl_cell_2016,total_households_2017,with_computer_incl_cell_2017
Alabama,1846400,1490700,1852500,1554400,1841700,1583300
Alaska,250200,230000,248500,234600,250700,236700
Arizona,2463000,2158600,2519100,2293500,2553000,2356300
Arkansas,1144700,935500,1142700,965400,1153100,992700
California,12896300,11577000,12944200,11924200,13005100,12160500
Colorado,2074700,1893200,2109000,1970700,2139200,2016400
Connecticut,1343700,1187500,1357300,1214300,1356800,1237500
Delaware,352600,308500,351100,319800,357900,334600
District of Columbia,281800,251800,281200,253600,281500,259200
Florida,7463200,6529200,7573500,6827300,7690000,7073900
Georgia,3656400,3174400,3686100,3297100,3745100,3403000
Hawaii,445900,397700,455900,416100,458100,416800
Idaho,597400,530800,610900,544300,625100,569500
Illinois,4794500,4141800,4822000,4293700,4808700,4343100
Indiana,2515100,2138500,2533300,2224700,2557300,2274400
Iowa,1247200,1065900,1247900,1096900,1257500,1132200
Kansas,1111600,955300,1110400,983300,1129000,1025800
Kentucky,1716200,1407200,1717700,1458200,1725000,1486400
Louisiana,1737900,1405400,1720800,1453800,1737100,1492700
Maine,545200,471400,531700,473500,541000,485200
Maryland,2177900,1961800,2194700,2011700,2207300,2054700
Massachusetts,2560000,2286700,2579500,2335700,2605000,2381400
Michigan,3858500,3324800,3884200,3430300,3930000,3535200
Minnesota,2147300,1916500,2148700,1941100,2162200,1991200
Mississippi,1104400,870400,1091300,897400,1092000,921700
Missouri,2374200,2030600,2372200,2094300,2385100,2141000
Montana,414800,354900,416100,365400,423100,370700
Nebraska,744200,649300,747600,656400,754500,688300
Nevada,1042100,933200,1055200,962100,1094600,1020400
New Hampshire,517600,471100,520600,478500,528700,496900
New Jersey,3188000,2811400,3194500,2893800,3218800,2979600
New Mexico,761800,614900,758400,643200,767700,658800
New York,7233700,6251900,7209000,6387500,7304300,6578500
North Carolina,3843800,3269500,3882400,3418000,3955100,3541400
North Dakota,313500,271300,315100,282200,316300,285800
Ohio,4606700,3940900,4624700,4065000,4667200,4182400
Oklahoma,1465900,1226300,1469300,1281200,1470400,1314800
Oregon,1553200,1411300,1571700,1439900,1603600,1495000
Pennsylvania,4956000,4190700,4937800,4286800,5008800,4407200
Rhode Island,407500,354000,408200,359500,408800,366700
South Carolina,1857800,1549300,1877900,1631800,1905100,1686600
South Dakota,339400,289900,334000,293400,344300,301600
Tennessee,2530300,2091900,2556300,2187100,2588700,2267700
Texas,9421400,8165200,9535600,8580700,9623900,8831100
Utah,931000,866100,943100,888500,975400,932300
Vermont,254900,223900,254800,226400,256600,228300
Virginia,3106900,2741200,3120700,2829700,3120900,2861000
Washington,2728600,2493800,2768100,2573400,2840400,2675700
West Virginia,734500,586700,722100,597400,715300,606200
Wisconsin,2319500,2001700,2327000,2066200,2350300,2099100
Wyoming,228900,204000,223600,202100,225800,206400